Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
507981,JINDHOT,JINDAL HOTELS LTD.,Active,X,10.0,INE726D01016,Hotels,Equity
507984,DESIFARMS,Desi Farms India Limited,Active,XT,10.0,INE358F01013,Surface Transportation,Equity
507987,JPTRLES,JUPITER INDUSTRIES & LEASING L,Active,P,10.0,INE990E01016,Finance (including NBFCs),Equity
507998,SIMMOND,SIMMONDS MARSHALL LTD.,Active,X,2.0,INE657D01021,Auto Parts & Equipment,Equity
508136,BNALTD,B & A LTD.,Active,T,10.0,INE489D01011,Tea & Coffee,Equity
508486,HAWKINCOOK,HAWKINS COOKERS LTD.,Active,B,10.0,INE979B01015,Houseware,Equity
508494,WARRENTEA,WARREN TEA LTD.,Active,X,10.0,INE712A01012,Tea & Coffee,Equity
508571,COCHMAL,COCHIN MALABAR ESTATES & INDUS,Active,X,10.0,INE788M01017,Auto Tyres & Rubber Products,Equity
508664,BESTEAST,BEST EASTERN HOTELS LTD.,Active,XT,1.0,INE553F01035,Hotels,Equity
508670,NEAGI,NEELAMALAI AGRO INDUSTRIES LTD,Active,B,10.0,INE605D01012,Tea & Coffee,Equity
508807,ISTLTD,IST LTD.,Active,B,5.0,INE684B01029,,Equity
508814,COSMOFIRST,Cosmo First Limited,Active,B,10.0,INE757A01017,Commodity Chemicals,Equity
508860,DIAMANT,DIAMANT INFRASTRUCTURE LIMITED,Active,XT,2.0,INE206I01026,Construction & Engineering,Equity
508867,NEWMKTAVE,NEW MARKETS AVENUE LIMITED,Active,XT,10.0,INE800K01014,IT Software Products,Equity
508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LT,Active,A,5.0,INE437A01024,Healthcare Facilities,Equity
508875,NITINCAST,Nitin Castings Limited,Active,X,5.0,INE861H01020,,Equity
508905,NEXOME,NEXOME CAPITAL MARKETS LIMITED,Active,XT,10.0,INE641A01013,Other Financial Services,Equity
508906,EVERESTIND,EVEREST INDUSTRIES LTD.,Active,T,10.0,INE295A01018,Cement & Cement Products,Equity
508918,IRONWOOD,IRONWOOD EDUCATION LIMITED,Active,X,10.0,INE791H01011,Education,Equity
508922,MSRINDIA,MSR INDIA LTD.,Active,Z,5.0,INE331L01026,Houseware,Equity
508929,AIRLTD,AVISHKAR INFRA REALTY LIMITED,Active,X,10.0,INE433O01024,Realty,Equity
508933,AYMSYNTEX,AYM Syntex Limited,Active,B,10.0,INE193B01039,Textiles,Equity
508941,PANCARBON,PANASONIC CARBON INDIA CO.LTD.,Active,X,10.0,INE013E01017,Other Industrial Goods,Equity
508954,FINKURVE,FINKURVE FINANCIAL SERVICES LT,Active,B,1.0,INE734I01027,Finance (including NBFCs),Equity
508956,HBLEAS,HB LEASING & FINANCE CO.LTD.,Active,X,10.0,INE549B01016,Finance (including NBFCs),Equity
508961,SHRICON,SHRICON INDUSTRIES LTD.,Active,XT,10.0,INE753D01010,Finance (including NBFCs),Equity
508969,SULABEN,SULABH ENGINEERS & SERVICES LT,Active,X,1.0,INE673M01029,,Equity
508980,FRONTCAP,FRONTIER CAPITAL LIMITED,Active,X,10.0,INE977E01013,Misc.Commercial Services,Equity
508989,NAVNETEDUL,NAVNEET EDUCATION LIMITED,Active,B,2.0,INE060A01024,Publishing,Equity
509003,TRANOCE,TRANSOCEANIC PROPERTIES LTD.,Active,XT,10.0,INE074J01018,,Equity
509009,AUSOMENT,AUSOM ENTERPRISE LIMITED,Active,B,10.0,INE218C01016,Comm.Trading  & Distribution,Equity
509015,THAKRAL,THAKRAL SERVICES (INDIA) LTD.,Active,X,3.0,INE190F01028,Electronic Components,Equity
509020,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,Active,B,1.0,INE413B01023,Edible Oils,Equity
509024,GOLDLEG,GOLDEN LEGAND LEASING & FINANC,Active,X,10.0,INE088E01019,,Equity
509026,VJTFEDU,VJTF EDUSERVICES LTD.,Active,X,10.0,INE117F01013,Education,Equity
509038,VOLLF,VOLTAIRE LEASING & FINANCE LTD,Active,X,10.0,INE763D01019,Finance (including NBFCs),Equity
509040,NETLINK,NETLINK SOLUTIONS (INDIA) LTD.,Active,X,10.0,INE040F01033,,Equity
509046,TRILIANCE,TRILIANCE POLYMERS LIMITED,Active,X,10.0,INE778N01016,Misc.Commercial Services,Equity
509048,LANCORHOL,LANCOR HOLDINGS LTD.,Active,B,2.0,INE572G01025,Realty,Equity
509051,INDINFO,INDIAN INFOTECH & SOFTWARE LTD,Active,X,1.0,INE300B01022,IT Software Products,Equity
509053,BANASFN,BANAS FINANCE LTD.,Active,X,10.0,INE521L01030,,Equity
509055,VISAKAIND,VISAKA INDUSTRIES LTD.,Active,B,2.0,INE392A01021,,Equity
509069,INFOMEDIA,INFOMEDIA PRESS LTD.,Active,B,10.0,INE669A01022,Publishing,Equity
509073,HATHWAYB,HATHWAY BHAWANI CABLETEL & DAT,Active,X,10.0,INE525B01016,Broadcasting & Cable TV,Equity
509079,GUFICBIO,GUFIC BIOSCIENCES LTD.,Active,B,1.0,INE742B01025,Pharmaceuticals,Equity
509084,PHOTON,PHOTON CAPITAL ADVISORS LTD.,Active,XT,10.0,INE107J01016,Misc.Commercial Services,Equity
509099,OSWALEA,OSWAL LEASING LTD.,Active,P,10.0,INE811Q01018,,Equity
509152,GRPLTD,GRP LTD.,Active,B,10.0,INE137I01015,Auto Tyres & Rubber Products,Equity
509162,INDAG,INDAG RUBBER LTD.,Active,X,2.0,INE802D01023,Auto Tyres & Rubber Products,Equity
509196,MMRUBBR-B,MM RUBBER COMPANY LTD.,Active,X,2.0,INE159E01026,Auto Tyres & Rubber Products,Equity
509220,PTL,PTL ENTERPRISES LTD.,Active,B,1.0,INE034D01049,,Equity
